"","GSM4385296","GSM4385297","GSM4385298","GSM4385299","GSM4385300","GSM4385301"
"57523",52,53,40,33,34,25
"57524",333,295,256,237,236,212
"57526",16,15,9,9,11,6
"57528",22,25,19,11,5,14
"57529",6,0,4,1,8,9
"5753",115,116,96,75,69,74
"57530",351,345,264,257,290,249
"57531",452,406,343,326,339,304
"57532",9244,7312,7833,7376,7883,7190
"57533",2080,2052,1804,1765,1787,1561
"57534",4242,3534,3481,3257,3415,3188
"57535",48,51,40,48,45,40
"57536",447,334,321,351,328,322
"57537",98,106,52,71,57,58
"57538",136,143,102,135,132,121
"57539",1496,1299,1265,1101,1201,1147
"5754",154,148,112,101,110,87
"57540",19,12,14,15,13,11
"57541",1069,1053,914,855,887,829
"57542",2045,2050,1797,1620,1718,1617
"57544",263,203,188,211,257,244
"57545",1059,895,886,705,878,759
"57546",794,763,688,720,704,641
"57547",364,309,310,267,278,253
